iter	Passed	Remaining
0	55	55733
1	56	27951
2	56	18681
3	56	14056
4	56	11273
5	56	9420
6	57	8097
7	57	7124
8	57	6353
9	57	5737
10	58	5232
11	58	4809
12	58	4454
13	58	4149
14	59	3887
15	59	3652
16	59	3447
17	59	3264
18	60	3101
19	60	2952
20	60	2819
21	60	2697
22	60	2587
23	61	2485
24	61	2392
25	61	2306
26	61	2226
27	61	2151
28	62	2082
29	62	2018
30	62	1957
31	62	1900
32	63	1847
33	63	1797
34	63	1749
35	63	1705
36	63	1663
37	64	1626
38	64	1589
39	64	1553
40	64	1519
41	65	1486
42	65	1455
43	65	1424
44	65	1396
45	65	1368
46	66	1342
47	66	1316
48	66	1292
49	66	1269
50	67	1247
51	67	1226
52	67	1205
53	67	1185
54	67	1166
55	68	1148
56	68	1130
57	68	1112
58	68	1096
59	68	1080
60	69	1064
61	69	1049
62	69	1034
63	69	1020
64	70	1007
65	70	994
66	70	981
67	70	969
68	70	957
69	71	945
70	71	933
71	71	923
72	71	913
73	72	903
74	72	892
75	72	882
76	72	872
77	73	863
78	73	853
79	73	844
80	73	836
81	73	827
82	73	817
83	74	809
84	74	800
85	74	794
86	75	787
87	75	779
88	75	772
89	75	766
90	75	758
91	76	751
92	76	744
93	76	737
94	76	731
95	76	724
96	77	719
97	77	712
98	77	706
99	77	700
100	78	695
101	78	689
102	78	683
103	78	678
104	78	672
105	79	667
106	79	662
107	79	657
108	79	652
109	80	647
110	80	642
111	80	638
112	80	633
113	80	628
114	81	624
115	81	619
116	81	614
117	81	610
118	81	606
119	82	601
120	82	597
121	82	593
122	82	589
123	82	585
124	83	581
125	83	577
126	83	573
127	83	569
128	83	566
129	84	563
130	84	559
131	84	555
132	84	552
133	84	548
134	85	545
135	85	542
136	85	538
137	85	535
138	86	532
139	86	529
140	86	526
141	86	522
142	86	519
143	86	516
144	87	514
145	87	511
146	87	508
147	87	506
148	88	503
149	88	500
150	88	498
151	88	495
152	89	492
153	89	490
154	89	487
155	89	485
156	89	482
157	90	480
158	90	477
159	90	475
160	90	472
161	90	470
162	91	468
163	91	466
164	91	463
165	91	461
166	92	459
167	92	457
168	92	454
169	92	452
170	92	450
171	93	448
172	93	445
173	93	443
174	93	441
175	93	439
176	94	437
177	94	435
178	94	433
179	94	432
180	95	430
181	95	428
182	95	426
183	95	424
184	95	422
185	96	420
186	96	419
187	96	417
188	96	415
189	97	414
190	97	412
191	97	410
192	97	408
193	97	406
194	98	405
195	98	403
196	98	401
197	98	400
198	99	398
199	99	396
200	99	395
201	99	393
202	99	392
203	100	390
204	100	389
205	100	387
206	100	386
207	101	384
208	101	383
209	101	381
210	101	380
211	101	378
212	102	377
213	102	375
214	102	374
215	102	373
216	103	371
217	103	370
218	103	369
219	103	367
220	103	366
221	104	364
222	104	363
223	104	362
224	104	360
225	104	359
226	105	358
227	105	356
228	105	355
229	105	354
230	106	352
231	106	351
232	106	350
233	106	349
234	106	348
235	107	346
236	108	347
237	108	346
238	108	345
239	108	344
240	109	345
241	110	344
242	110	343
243	110	342
244	110	340
245	110	339
246	111	338
247	111	337
248	111	336
249	111	335
250	111	333
251	112	332
252	112	331
253	112	330
254	112	329
255	112	328
256	113	327
257	113	326
258	113	324
259	113	323
260	114	322
261	114	321
262	114	320
263	114	319
264	114	318
265	115	317
266	115	316
267	115	315
268	115	314
269	115	313
270	116	312
271	116	311
272	116	310
273	116	309
274	116	308
275	117	307
276	117	306
277	117	305
278	117	304
279	118	303
280	118	302
281	118	301
282	118	300
283	118	299
284	119	298
285	119	297
286	119	296
287	119	296
288	119	295
289	120	294
290	120	293
291	120	292
292	120	291
293	121	290
294	121	289
295	121	288
296	121	287
297	121	287
298	122	286
299	122	285
300	122	284
301	122	283
302	122	282
303	123	282
304	123	281
305	123	280
306	123	279
307	124	278
308	124	277
309	124	276
310	124	276
311	124	275
312	125	274
313	125	273
